doi,url
10.1002/anie.202523579,https://onlinelibrary.wiley.com/doi/10.1002/anie.202523579
10.1002/adma.202519473,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202519473
10.1016/j.colsurfb.2025.115402,https://linkinghub.elsevier.com/retrieve/pii/S0927776525009099
10.1021/acsnano.5c11352,https://pubs.acs.org/doi/10.1021/acsnano.5c11352
10.1016/j.omtn.2025.102699,https://linkinghub.elsevier.com/retrieve/pii/S2162253125002537
10.1016/j.omtn.2025.102735,https://linkinghub.elsevier.com/retrieve/pii/S2162253125002896
10.3390/ijms262411960,https://www.mdpi.com/1422-0067/26/24/11960
10.1016/j.virusres.2025.199682,https://linkinghub.elsevier.com/retrieve/pii/S0168170225001601
10.1002/adhm.202503238,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202503238
10.1016/j.jconrel.2025.114569,https://linkinghub.elsevier.com/retrieve/pii/S0168365925011836
10.3390/nano15241844,https://www.mdpi.com/2079-4991/15/24/1844
10.1002/adhm.202504363,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202504363
10.1038/s41541-025-01349-w,https://www.nature.com/articles/s41541-025-01349-w
10.1016/j.retram.2025.103563,https://linkinghub.elsevier.com/retrieve/pii/S2452318625000728
10.1016/j.bbrc.2025.153155,https://linkinghub.elsevier.com/retrieve/pii/S0006291X25018716
10.1016/j.vaccine.2025.128136,https://linkinghub.elsevier.com/retrieve/pii/S0264410X25014343
10.1021/acsnano.5c17445,https://pubs.acs.org/doi/10.1021/acsnano.5c17445
10.1038/s41551-025-01577-4,https://www.nature.com/articles/s41551-025-01577-4
10.1021/acs.jctc.5c01207,https://pubs.acs.org/doi/10.1021/acs.jctc.5c01207
10.1186/s12951-025-03895-w,https://link.springer.com/article/10.1186/s12951-025-03895-w
10.1039/d5ob01888a,https://pubs.rsc.org/en/content/articlelanding/2026/ob/d5ob01888a
10.1016/j.omtn.2025.102773,https://linkinghub.elsevier.com/retrieve/pii/S2162253125003270
10.1038/s41467-025-66087-y,https://www.nature.com/articles/s41467-025-66087-y
10.1016/j.omtn.2025.102697,https://linkinghub.elsevier.com/retrieve/pii/S2162253125002513
10.1002/adma.202509471,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202509471
10.1038/s41467-025-67331-1,https://www.nature.com/articles/s41467-025-67331-1
10.3389/fimmu.2025.1693674,https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2025.1693674/full
10.1021/jacs.5c16121,https://pubs.acs.org/doi/10.1021/jacs.5c16121
10.1007/s00204-025-04252-4,https://link.springer.com/article/10.1007/s00204-025-04252-4
10.1016/j.aca.2025.344852,https://linkinghub.elsevier.com/retrieve/pii/S0003267025012462
10.1038/s41467-025-65874-x,https://www.nature.com/articles/s41467-025-65874-x
10.1016/j.jconrel.2025.114499,https://linkinghub.elsevier.com/retrieve/pii/S0168365925011137
10.1016/j.jconrel.2025.114482,https://linkinghub.elsevier.com/retrieve/pii/S016836592501096X
10.1002/smll.202510395,https://onlinelibrary.wiley.com/doi/10.1002/smll.202510395
10.1002/adma.202517893,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202517893
10.3390/nu17223572,https://www.mdpi.com/2072-6643/17/22/3572
10.3390/pharmaceutics17111410,https://www.mdpi.com/1999-4923/17/11/1410
10.1186/s12951-025-03844-7,https://link.springer.com/article/10.1186/s12951-025-03844-7
10.1021/acs.jmedchem.5c02209,https://pubs.acs.org/doi/10.1021/acs.jmedchem.5c02209
10.1101/2025.10.30.685635,https://www.biorxiv.org/lookup/doi/10.1101/2025.10.30.685635
10.1016/j.ejps.2025.107386,https://linkinghub.elsevier.com/retrieve/pii/S0928098725003835
10.1002/advs.202512535,https://advanced.onlinelibrary.wiley.com/doi/10.1002/advs.202512535
10.1021/acsnano.5c12080,https://pubs.acs.org/doi/10.1021/acsnano.5c12080
10.1016/j.bioactmat.2025.09.007,https://linkinghub.elsevier.com/retrieve/pii/S2452199X2500413X
10.1021/jacs.5c10972,https://pubs.acs.org/doi/10.1021/jacs.5c10972
10.1021/jacs.5c19387,https://pubs.acs.org/doi/10.1021/jacs.5c19387
10.1016/j.jconrel.2025.114414,https://linkinghub.elsevier.com/retrieve/pii/S0168365925010284
10.1080/17435889.2025.2587715,https://www.tandfonline.com/doi/full/10.1080/17435889.2025.2587715
10.1002/adma.202512235,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202512235
10.1021/acsami.5c16272,https://pubs.acs.org/doi/10.1021/acsami.5c16272
10.1039/d5pm00166h,https://pubs.rsc.org/en/content/articlelanding/2026/pm/d5pm00166h
10.1016/j.drudis.2025.104532,https://linkinghub.elsevier.com/retrieve/pii/S1359644625002454
10.1021/acs.langmuir.5c04076,https://pubs.acs.org/doi/10.1021/acs.langmuir.5c04076
10.1016/j.jcis.2025.139420,https://linkinghub.elsevier.com/retrieve/pii/S0021979725028127
10.1002/adhm.202503748,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202503748
10.1021/jacs.5c14194,https://pubs.acs.org/doi/10.1021/jacs.5c14194
10.1016/j.copbio.2025.103383,https://linkinghub.elsevier.com/retrieve/pii/S0958166925001272
10.1038/s41565-025-02044-6,https://www.nature.com/articles/s41565-025-02044-6
10.1016/j.jconrel.2025.114385,https://linkinghub.elsevier.com/retrieve/pii/S016836592500999X
10.1248/cpb.c25-00477,https://www.jstage.jst.go.jp/article/cpb/73/11/73_c25-00477/_article
10.1021/acs.molpharmaceut.5c00348,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.5c00348
10.1016/j.mattod.2025.10.005,https://linkinghub.elsevier.com/retrieve/pii/S1369702125004250
10.1038/s41598-025-21880-z,https://www.nature.com/articles/s41598-025-21880-z
10.1038/s41565-025-02045-5,https://www.nature.com/articles/s41565-025-02045-5
10.1021/jacs.5c13982,https://pubs.acs.org/doi/10.1021/jacs.5c13982
10.3390/pharmaceutics17101309,https://www.mdpi.com/1999-4923/17/10/1309
10.1002/adhm.202502225,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adhm.202502225
10.1016/j.ijpharm.2025.126278,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011159
10.1016/j.jtcvs.2025.10.021,https://linkinghub.elsevier.com/retrieve/pii/S0022522325008967
10.1016/j.omtm.2025.101596,https://linkinghub.elsevier.com/retrieve/pii/S2329050125001913
10.1021/acs.nanolett.5c03826,https://pubs.acs.org/doi/10.1021/acs.nanolett.5c03826
10.1038/s41598-025-20340-y,https://www.nature.com/articles/s41598-025-20340-y
10.1002/anie.202515406,https://onlinelibrary.wiley.com/doi/10.1002/anie.202515406
10.1021/acsnanoscienceau.5c00042,https://pubs.acs.org/doi/10.1021/acsnanoscienceau.5c00042
10.1016/j.molmed.2025.10.002,https://linkinghub.elsevier.com/retrieve/pii/S1471491425002400
10.1038/s42004-025-01699-5,https://www.nature.com/articles/s42004-025-01699-5
10.1016/j.ijpharm.2025.126281,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011184
10.1039/d5cc04692k,https://pubs.rsc.org/en/content/articlelanding/2025/cc/d5cc04692k
10.2147/IJN.S541061,https://www.dovepress.com/advancing-cancer-immunotherapy-using-lipid-nanoparticle-based-approach-peer-reviewed-fulltext-article-IJN
10.1016/j.jconrel.2025.114305,https://linkinghub.elsevier.com/retrieve/pii/S0168365925009186
10.1021/jacs.5c14870,https://pubs.acs.org/doi/10.1021/jacs.5c14870
